10
[1812, 11, 11, 1058920.456, 33318.462, 'up', 'ok', 80]
[1851, 3, 3, 229.714, 1714083.262, 'ok', 'up', 21]
[1851, 3, 3, 1714083.262, 58437.014, 'up', 'ok', 22]
[1874, 7, 8, 4.286, 1.228, 'ok', 'up', 74]
[1874, 8, 9, 1.228, 0.414, 'up', 'ok', 75]
[1874, 9, 16, 10.245, 1359325.198, 'ok', 'up', 91]
[1874, 16, 19, 1359325.198, 0.0, 'up', 'ok', 92]
[1898, 3, 3, 202.145, 693085.572, 'ok', 'up', 12]
[1898, 3, 3, 693085.572, 327.277, 'up', 'ok', 13]
[1917, 9, 9, 69.198, 2572740.107, 'ok', 'up', 26]
[1917, 9, 9, 2572740.107, 14.737, 'up', 'ok', 27]
[1957, 11, 14, 352255.877, 3225.552, 'ok', 'up', 33]
[1957, 14, 12, 3225.552, 0.0, 'up', 'ok', 34]
[1966, 3, 3, 6.898, 1466224.727, 'ok', 'up', 11]
[1966, 3, 19, 1466224.727, 0.011, 'up', 'ok', 12]
[1968, 22, 10, 10388.902, 1033.418, 'ok', 'up', 77]
[1968, 10, 11, 1033.418, 0.192, 'up', 'ok', 78]
[1993, 3, 3, 743.933, 2207690.019, 'ok', 'up', 19]
[1993, 3, 19, 2207690.019, 0.017, 'up', 'ok', 20]
[2009, 3, 3, 115.802, 1443711.943, 'ok', 'up', 19]
[2009, 3, 3, 1443711.943, 60858.489, 'up', 'ok', 20]
[2009, 3, 3, 60858.489, 545191.092, 'ok', 'up', 21]
[2009, 3, 3, 545191.092, 9.044, 'up', 'ok', 22]
[2018, 3, 3, 70.39, 1366429.789, 'ok', 'up', 18]
[2018, 3, 19, 1366429.789, 0.003, 'up', 'ok', 19]
[2035, 20, 2, 40690.987, 2066.795, 'ok', 'up', 3]
[2035, 2, 3, 2066.795, 0.434, 'up', 'ok', 4]
[2038, 3, 3, 14.814, 1522582.797, 'ok', 'up', 30]
[2038, 3, 19, 1522582.797, 0.002, 'up', 'ok', 31]
[2041, 3, 3, 14.065, 914185.969, 'ok', 'up', 41]
[2041, 3, 19, 914185.969, 0.003, 'up', 'ok', 42]
[2072, 3, 3, 207.962, 1308686.979, 'ok', 'up', 33]
[2072, 3, 3, 1308686.979, 22.476, 'up', 'ok', 34]
[2099, 11, 13, 71988.237, 19555.648, 'ok', 'up', 29]
[2099, 13, 15, 19555.648, 0.0, 'up', 'ok', 30]
[2134, 3, 3, 299.902, 1042575.83, 'ok', 'up', 23]
[2134, 3, 3, 1042575.83, 58263.916, 'up', 'ok', 24]
[2146, 3, 3, 44.984, 1695409.578, 'ok', 'up', 25]
[2146, 3, 19, 1695409.578, 0.003, 'up', 'ok', 26]
[2168, 3, 3, 145.081, 1399517.162, 'ok', 'up', 23]
[2168, 3, 19, 1399517.162, 183.827, 'up', 'ok', 24]
[2171, 3, 3, 175.765, 885261.415, 'ok', 'up', 21]
[2171, 3, 3, 885261.415, 331.414, 'up', 'ok', 22]
